evidence_windows,aggregate_id,session_id,sequence,host_id,host_name,logical_processor_count,adb_port,run_id,window_start_utc,window_end_utc,sample_count,sample_interval_ms,host_cpu_percent_avg,host_cpu_percent_max,host_memory_used_percent_avg,host_memory_used_percent_max,host_available_memory_bytes_min,host_cpu_frequency_mhz_avg,host_cpu_frequency_mhz_min,host_cpu_frequency_ratio_avg,host_cpu_frequency_ratio_min,host_gpu_percent_avg,host_gpu_percent_max,host_gpu_dedicated_memory_bytes_avg,host_gpu_dedicated_memory_bytes_max,host_gpu_shared_memory_bytes_avg,host_gpu_shared_memory_bytes_max,bluestacks_cpu_percent_avg,bluestacks_cpu_percent_max,bluestacks_cpu_core_percent_avg,bluestacks_cpu_core_percent_max,bluestacks_working_set_bytes_avg,bluestacks_working_set_bytes_max,bluestacks_private_bytes_avg,bluestacks_private_bytes_max,bluestacks_process_count_min,bluestacks_process_count_max,bluestacks_gpu_percent_avg,bluestacks_gpu_percent_max,bluestacks_gpu_dedicated_memory_bytes_avg,bluestacks_gpu_dedicated_memory_bytes_max,bluestacks_gpu_shared_memory_bytes_avg,bluestacks_gpu_shared_memory_bytes_max,control_surface_cpu_percent_avg,control_surface_cpu_percent_max,sample_duration_ms_avg,sample_duration_ms_max,ds_sample_count,ds_gpu_percent_avg,ds_gpu_percent_max,ds_dedicated_memory_bytes_max,ds_shared_memory_bytes_max
cpu_clean_x6_3,fe0f6bbb-b005-487c-ae4c-5e70ae908754,308e3fff-8785-4045-beb7-ee2bdd353a10,1370,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:50:07.791+00:00,2026-07-31T03:50:16.793+00:00,10,1000,40.72567249496964,58.26271186440678,83.0,83.0,5581139968.0,3792.0,3792.0,1.0,1.0,41.65060902830546,47.58489019794638,7447051468.8,7476244480.0,323863756.8,331497472.0,17.206568032395403,19.041472090293706,275.30508851832644,304.6635534446993,256910950.4,257736704.0,3232778649.6,3243225088.0,2.0,2.0,23.31554062762065,28.180276305015695,1518034944.0,1519960064.0,221919232.0,224067584.0,1.3673363392624862,2.0528476464409073,49.80022,117.2275,,,,,
cpu_clean_x6_3,9a24078a-4454-4a1b-9961-dc5c45b3f56b,308e3fff-8785-4045-beb7-ee2bdd353a10,1371,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:50:17.792+00:00,2026-07-31T03:50:26.792+00:00,10,1000,38.587828219709905,46.563407550822845,83.0,83.0,5595803648.0,3792.0,3792.0,1.0,1.0,42.12905594837843,47.24329453321499,7423898419.2,7496949760.0,323458252.8,325369856.0,16.88618508023118,18.1411955230432,270.17896128369887,290.2591283686912,257441792.0,258699264.0,3225249792.0,3233906688.0,2.0,2.0,23.931865962785487,29.785872584046018,1518804992.0,1519960064.0,222778572.8,224067584.0,1.4942909759573986,2.2466259756936418,52.377750000000006,99.0942,,,,,
cpu_clean_x6_3,c181d825-96fd-4d2f-a8ac-cc6e80a3a874,308e3fff-8785-4045-beb7-ee2bdd353a10,1372,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:50:27.793+00:00,2026-07-31T03:50:36.792+00:00,10,1000,36.536034610374415,40.729166666666664,83.0,83.0,5733060608.0,3792.0,3792.0,1.0,1.0,41.8652013693877,44.52821647792453,7381453619.2,7389843456.0,322797158.4,325255168.0,17.206899575616,19.727884268245973,275.310393209856,315.64614829193556,258451046.4,259620864.0,3229869670.4,3243032576.0,2.0,2.0,23.421203508978927,25.956074909022863,1515518361.6,1519960064.0,221919232.0,224067584.0,1.308506738465004,2.146613951448245,51.42233,105.6587,,,,,
cpu_clean_x6_3,51a60b9d-b9b2-4fd0-8c9f-408b3a7d119b,308e3fff-8785-4045-beb7-ee2bdd353a10,1373,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:50:37.792+00:00,2026-07-31T03:50:46.791+00:00,10,1000,41.45460777939151,50.19493177387914,83.0,83.0,5692870656.0,3792.0,3792.0,1.0,1.0,42.379711744461204,47.521285119827155,7449890816.0,7487905792.0,324346265.6,332238848.0,17.198846635088085,19.73258291104616,275.18154616140936,315.72132657673853,258614067.2,259624960.0,3232853196.8,3241947136.0,2.0,2.0,23.87423347623734,28.762340405040316,1517196083.2,1528348672.0,221919232.0,224067584.0,1.5723341947283576,2.341464964341299,54.56179999999999,107.053,,,,,
cpu_clean_x6_3,b64cd944-50a6-4107-94b4-de7ae78f2c19,308e3fff-8785-4045-beb7-ee2bdd353a10,1374,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:50:47.793+00:00,2026-07-31T03:50:56.792+00:00,10,1000,34.73190120014524,37.70812928501469,83.0,83.0,5713403904.0,3792.0,3792.0,1.0,1.0,41.30154992225592,45.15040213915899,7449299763.2,7466192896.0,322599731.2,325627904.0,16.32635852716609,17.462196307783536,261.22173643465743,279.3951409245366,257315635.2,258052096.0,3236592435.2,3248742400.0,2.0,2.0,23.232316425987435,26.153156417455612,1517196083.2,1519960064.0,221919232.0,224067584.0,1.4548119863875963,2.0512501657878994,52.009879999999995,105.8016,,,,,
cpu_clean_x6_3,9d478dcd-ddb9-481e-b8ef-4cd7985f3f9e,308e3fff-8785-4045-beb7-ee2bdd353a10,1375,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:50:57.793+00:00,2026-07-31T03:51:06.792+00:00,10,1000,36.017102380321326,46.596858638743456,83.0,83.0,5716303872.0,3792.0,3792.0,1.0,1.0,39.131736831721184,42.529331595905404,7455913984.0,7469883392.0,322882355.2,325627904.0,15.84965957377772,17.39477140534117,253.5945531804435,278.31634248545873,258065612.8,258932736.0,3235305472.0,3241414656.0,2.0,2.0,20.19182819873395,23.05047597438577,1520481894.4,1524498432.0,222665523.2,224067584.0,1.4647914689222579,2.4393808320951114,52.523300000000006,112.4505,,,,,
cpu_clean_x6_3,75252e2c-1d0a-41a1-8be6-ec708b8ccc70,308e3fff-8785-4045-beb7-ee2bdd353a10,1376,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:51:07.792+00:00,2026-07-31T03:51:16.792+00:00,10,1000,37.711784105117395,45.3757225433526,83.0,83.0,5711040512.0,3792.0,3792.0,1.0,1.0,41.120724376547166,46.0284172765286,7452119449.6,7464951808.0,320680345.6,322899968.0,17.187286850467824,20.016622834702115,274.9965896074852,320.26596535523385,258851225.6,259096576.0,3235950182.4,3242377216.0,2.0,2.0,22.727608470392855,27.00336830111536,1519640985.6,1528344576.0,222213324.8,223502336.0,1.3769767562987911,2.2457674399909693,52.28826999999999,116.7517,,,,,
cpu_clean_x6_3,b71c343e-2dcb-41a7-9b3f-790f9454950d,308e3fff-8785-4045-beb7-ee2bdd353a10,1377,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:51:17.793+00:00,2026-07-31T03:51:26.792+00:00,10,1000,33.74850181565366,41.36585365853659,83.0,83.0,5692329984.0,3792.0,3792.0,1.0,1.0,39.91617070938023,43.26203682472875,7454131404.8,7466684416.0,321346355.2,326721536.0,14.316028287614674,16.519560185231526,229.0564526018348,264.3129629637044,257371340.8,258260992.0,3231493324.8,3242442752.0,2.0,2.0,20.573403153728627,22.912592496728237,1519324364.8,1528344576.0,220924313.6,223502336.0,1.3964382227478542,1.8537621765402772,49.884949999999996,109.3358,,,,,
cpu_clean_x6_3,9a3d4fe4-802f-4ada-b054-38b84fcd4bea,308e3fff-8785-4045-beb7-ee2bdd353a10,1378,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:51:27.792+00:00,2026-07-31T03:51:36.792+00:00,10,1000,39.47250618807108,48.68292682926829,83.0,83.0,5656506368.0,3792.0,3792.0,1.0,1.0,38.95431958672992,44.874367823713406,7448272486.4,7464714240.0,322809446.4,326852608.0,15.370863996709545,18.6315379116141,245.93382394735272,298.1046065858256,257492582.4,258277376.0,3238986956.8,3248807936.0,2.0,2.0,20.000558367015948,26.38829388509106,1518802124.8,1519960064.0,222213324.8,223502336.0,1.3672539925225151,2.0487437743164425,50.172410000000006,102.4368,,,,,
cpu_clean_x6_3,ff833b98-fae7-49da-8bf4-8b95036e51c7,308e3fff-8785-4045-beb7-ee2bdd353a10,1379,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,0c67f3cb32314583a3dea2d3074fcb7b,2026-07-31T03:51:37.791+00:00,2026-07-31T03:51:46.793+00:00,10,1000,37.893540373591804,50.925024342745864,83.0,83.0,5686956032.0,3792.0,3792.0,1.0,1.0,40.809114222742586,43.960399572669594,7445793177.6,7456653312.0,323738419.2,326983680.0,15.467252111791556,16.52037541224847,247.4760337886649,264.3260065959755,257311129.6,258023424.0,3238957056.0,3248365568.0,2.0,2.0,21.706203377514747,25.66702596496712,1520479846.4,1528348672.0,222213324.8,223502336.0,1.4451270549233404,1.8543174043236557,49.132889999999996,91.6591,,,,,
