evidence_windows,aggregate_id,session_id,sequence,host_id,host_name,logical_processor_count,adb_port,run_id,window_start_utc,window_end_utc,sample_count,sample_interval_ms,host_cpu_percent_avg,host_cpu_percent_max,host_memory_used_percent_avg,host_memory_used_percent_max,host_available_memory_bytes_min,host_gpu_percent_avg,host_gpu_percent_max,bluestacks_cpu_percent_avg,bluestacks_cpu_percent_max,bluestacks_cpu_core_percent_avg,bluestacks_cpu_core_percent_max,bluestacks_working_set_bytes_avg,bluestacks_working_set_bytes_max,bluestacks_private_bytes_avg,bluestacks_private_bytes_max,bluestacks_gpu_percent_avg,bluestacks_gpu_percent_max,control_surface_cpu_percent_avg,control_surface_cpu_percent_max,sample_duration_ms_avg,sample_duration_ms_max,ds_sample_count,ds_gpu_percent_avg,ds_gpu_percent_max,ds_dedicated_memory_bytes_max,ds_shared_memory_bytes_max
pre_x6_3_final_15m,a031ea56-a26c-40b2-af39-27bfca117eac,672e3d39-dc5f-4b1a-a768-44427391b0c7,15078,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:21:15.570+00:00,2026-08-11T02:21:24.570+00:00,10,1000,34.0360798953202,41.2109375,85.0,85.0,4934889472.0,41.300674906178386,42.8901028896098,9.629947231040294,11.043529454032047,154.0791556966447,176.69647126451275,227605708.8,227606528.0,3362471116.8,3362471936.0,27.561271083923423,28.84345931472156,0.5079071389222943,1.075033840657987,68.40347,149.9111,,,,,
pre_x6_3_final_15m,b69311c0-ce27-48e5-8e03-cdd5982296ce,672e3d39-dc5f-4b1a-a768-44427391b0c7,15079,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:21:25.570+00:00,2026-08-11T02:21:34.571+00:00,10,1000,34.443479316353475,42.96875,85.0,85.0,4983660544.0,40.86096860833122,43.18481270664688,9.47140171526444,11.0321080785379,151.54242744423104,176.5137292566064,227606528.0,227606528.0,3362471936.0,3362471936.0,26.99749091392696,27.931734769366756,0.5761120694729448,1.4647437080047434,67.83634,139.2132,,,,,
pre_x6_3_final_15m,002f78f4-0e35-46c9-8147-426fd2748a43,672e3d39-dc5f-4b1a-a768-44427391b0c7,15080,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:21:35.571+00:00,2026-08-11T02:21:44.571+00:00,10,1000,33.57898521938713,39.16015625,85.0,85.0,4982616064.0,41.53450854334849,42.61275635176764,9.5999831096474,10.651067810315192,153.5997297543584,170.41708496504307,227606118.4,227606528.0,3362465792.0,3362471936.0,27.68632017739015,28.704126581756643,0.5078941453944786,1.2703108397623624,65.84777,139.7284,,,,,
pre_x6_3_final_15m,bc5a3eba-9669-4614-8af7-3c1834fdb5a0,672e3d39-dc5f-4b1a-a768-44427391b0c7,15081,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:21:45.572+00:00,2026-08-11T02:21:54.571+00:00,10,1000,33.37859200365389,37.5,85.0,85.0,4930166784.0,41.43558241959609,43.98697836101665,9.111215160720269,10.161282883412154,145.7794425715243,162.58052613459446,227602432.0,227602432.0,3362410496.0,3362410496.0,27.977038560382375,29.146278141977906,0.5565699495994869,1.1705244488908697,65.97382,124.321,,,,,
pre_x6_3_final_15m,41ce52ab-3aa8-47c9-998b-28343123f23b,672e3d39-dc5f-4b1a-a768-44427391b0c7,15082,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:21:55.570+00:00,2026-08-11T02:22:04.570+00:00,10,1000,34.93718431435765,43.75,85.0,85.0,4923113472.0,41.13625109803823,45.61229005161708,9.190326393999856,10.157057486070142,147.0452223039977,162.51291977712228,227604889.6,227610624.0,3362410496.0,3362410496.0,27.112358645725067,29.03898167044045,0.5078962644989958,0.8795009685549369,66.74136,121.965,,,,,
pre_x6_3_final_15m,3b72df61-0f33-40b5-bf81-c6e9f75e8ec1,672e3d39-dc5f-4b1a-a768-44427391b0c7,15083,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:22:05.570+00:00,2026-08-11T02:22:14.571+00:00,10,1000,35.95981628822771,48.53515625,85.0,85.0,4925587456.0,40.424142209428695,42.65321608467411,9.286199281913259,10.444755705886875,148.57918851061214,167.11609129419,227618816.0,227635200.0,3362419097.6,3362439168.0,27.280696638516197,28.219672789314536,0.4686964234685684,0.8787288346482844,66.17620000000001,123.6786,,,,,
pre_x6_3_final_15m,59b422b0-7cf8-473f-87c6-2783db855e03,672e3d39-dc5f-4b1a-a768-44427391b0c7,15084,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:22:15.570+00:00,2026-08-11T02:22:24.571+00:00,10,1000,35.31966289762958,45.60546875,85.0,85.0,4896788480.0,40.69914758774861,42.5295938773407,9.326447990136666,10.75233124930059,149.22316784218665,172.03729998880945,227638886.4,227639296.0,3362442854.4,3362443264.0,27.190314410049677,28.388218075375043,0.47851066242913526,0.8794907595588028,67.23924000000001,116.7149,,,,,
pre_x6_3_final_15m,8096af49-a814-4aef-a48c-3932277116e5,672e3d39-dc5f-4b1a-a768-44427391b0c7,15085,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:22:25.570+00:00,2026-08-11T02:22:34.572+00:00,10,1000,33.796563632246375,39.039855072463766,85.0,85.0,4887252992.0,41.49319827392926,43.398212489153245,9.363921619828051,10.45640334473817,149.82274591724882,167.30245351581073,227639296.0,227639296.0,3362443264.0,3362443264.0,28.14171215797636,29.161133367961344,0.45896638813241974,0.7817871659617324,65.5996,127.8541,,,,,
pre_x6_3_final_15m,f4429435-8a0c-4cfd-a4e2-9af8e54e7cc9,672e3d39-dc5f-4b1a-a768-44427391b0c7,15086,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:22:35.572+00:00,2026-08-11T02:22:44.570+00:00,10,1000,35.67040359725333,47.36328125,85.0,85.0,4873486336.0,41.46743505041397,43.240550114746874,9.230650343767858,11.039894572750624,147.69040550028572,176.63831316401,227639296.0,227639296.0,3362443264.0,3362443264.0,27.738002142777788,29.217075560645622,0.4884205296239534,1.3677745488363606,67.05205000000001,145.3976,,,,,
pre_x6_3_final_15m,88ba26a6-508d-4ed8-93a2-a0bfa9c15600,672e3d39-dc5f-4b1a-a768-44427391b0c7,15087,62454c4f-5a7e-4da3-9005-0b6dfb81cc9b,ALIEN,16,5555,8c0415724f914aca9194d49353e14e8f,2026-08-11T02:22:45.571+00:00,2026-08-11T02:22:54.571+00:00,10,1000,36.918364771053504,47.265625,85.0,85.0,4868186112.0,41.26697704461814,43.138853181837206,9.43223925847668,11.408530411165277,150.91582813562687,182.53648657864443,227637248.0,227639296.0,3362439987.2,3362443264.0,27.973807943985584,28.523108911794242,0.5076737068879675,0.9750880693303656,64.84554,130.0204,,,,,
